MenuID,ParentID,MenuName,MenuParams,RelativeForm,RelativeImage,ShortcutKey,ToolbuttonFlag,SelectedFlag,ChildNodeFlag,MenuOrder,Remark
10000,0,基础信息维护,,,,,0,1,0,1,
11001,10000,用户信息维护,,Elite.LMS.WinForms.FrmUserMain,,,0,1,1,1,
11002,10000,角色信息维护,,Elite.LMS.WinForms.FrmRoleMain,,,0,1,1,2,
11003,10000,产品信息维护,,Elite.LMS.WinForms.FrmProductMain,,,0,1,1,3,
11004,10000,芯盒信息维护,,Elite.LMS.WinForms.FrmCoreBoxMain,,,0,0,1,4,
11005,10000,砂芯信息维护,,Elite.LMS.WinForms.FrmMaterialMain,,,0,0,1,5,
11006,10000,货位分区规划,,Elite.LMS.WinForms.FrmAreaPlan,,,0,0,1,6,
11007,10000,当前产品管理,,Elite.LMS.WinForms.FrmConfigCurrentProduction,,,0,1,1,7,
11008,10000,起止排配置,,Elite.LMS.WinForms.FrmConfigLaneway,,,0,0,1,8,
11009,10000,巷道状态管理,,Elite.LMS.WinForms.FrmConfigLanewayStatus,,,0,0,1,9,
11020,10000,货位信息管理,,Elite.LMS.WinForms.FrmCellMain,,,0,0,1,12,
20000,0,仓库任务管理,,,,,0,1,0,2,
22000,20000,移动任务管理,,,,,0,1,0,2,
22101,22000,托盘上架申请,,Elite.LMS.WinForms.FrmPalletOnShelf,,,0,0,1,1,
22102,22000,单盘下架申请,,Elite.LMS.WinForms.FrmDownShelfSingle,,,0,1,1,2,
22103,22000,批量下架申请,,Elite.LMS.WinForms.FrmDownShelfBatch,,,0,1,1,3,
22105,22000,管理任务维护,,Elite.LMS.WinForms.FrmWmsTaskQuery,,,0,1,1,5,
22106,22000,调度任务维护,,Elite.LMS.WinForms.FrmWcsTaskQuery,,,0,1,1,6,
24000,20000,库存操作管理,,,,,0,1,0,2,
24101,24000,物料入库登记,,Elite.LMS.WinForms.FrmMaterialInbound,,,0,1,1,1,
24102,24000,物料出库登记,,Elite.LMS.WinForms.FrmMaterialOutbound,,,0,1,1,2,
24103,24000,物料调盘登记,,Elite.LMS.WinForms.FrmMaterialAdjustPallet,,,0,0,1,3,
24104,24000,库存编辑,,Elite.LMS.WinForms.FrmStorageAdjust,,,0,1,1,4,
24105,24000,货位批量更新,,Elite.LMS.WinForms.FrmConfigUpdateStorage,,,0,1,1,10,
24106,24000,异常信息处理,,Elite.LMS.WinForms.FrmToDoListQuery,,,0,1,1,10,
30000,0,统计查询,,,,,0,1,0,3,
30001,30000,货位信息查询,,Elite.LMS.WinForms.FrmStoreCellQuery,,,0,1,1,1,
30002,30000,库存统计查询,,Elite.LMS.WinForms.FrmStorageSummary,,,0,1,1,2,
30003,30000,库存明细查询,,Elite.LMS.WinForms.FrmStorageQuery,,,0,1,1,3,
30004,30000,操作记录查询,,Elite.LMS.WinForms.FrmRecordQuery,,,0,1,1,4,
30005,30000,预期报警查询,,Elite.LMS.WinForms.FrmItemOverdueQuery,,,0,1,1,5,
